iter	RMSE
0	605.3016768
1	579.1449946
2	553.8854036
3	531.0227968
4	511.2116798
5	491.2004642
6	474.2921464
7	457.5254149
8	442.0325423
9	427.8234559
10	414.7958819
11	402.9521942
12	391.4566206
13	381.0121778
14	371.6209516
15	362.8165339
16	354.7620648
17	347.3263265
18	340.6258485
19	334.9046622
20	329.1003654
21	323.7877628
22	319.0500849
23	314.6866417
24	310.7101097
25	306.9805508
26	303.7450442
27	300.7234151
28	298.0855966
29	295.5117982
30	293.3804161
31	291.035533
32	288.9022263
33	287.0628331
34	285.4967266
35	283.8378603
36	282.5264818
37	281.2402904
38	279.9363486
39	278.7425355
40	277.869655
41	276.8292503
42	275.9112502
43	275.012067
44	273.959875
45	273.1652203
46	272.4677336
47	271.8255696
48	271.1642989
49	270.2713989
50	269.5186731
51	269.0360197
52	268.4943473
53	267.8056258
54	267.3156838
55	266.8301273
56	266.2146326
57	265.6147012
58	265.0768622
59	264.6321496
60	264.3524798
61	264.1201995
62	263.6552942
63	263.3962581
64	263.0245756
65	262.5801091
66	262.2464197
67	262.0213845
68	261.7474573
69	261.4113534
70	261.0154663
71	260.6384578
72	260.2007395
73	259.5673892
74	259.2925459
75	259.125561
76	258.8057461
77	258.5980519
78	258.0800387
79	257.8068212
80	257.5328629
81	257.3177745
82	257.0764577
83	256.8399321
84	256.6633401
85	256.2857244
86	256.1008683
87	255.8601927
88	255.5007396
89	255.2700868
90	255.0963494
91	254.7956689
92	254.5904993
93	254.3448328
94	254.1949601
95	254.0210021
96	253.7733108
97	253.573612
98	253.4277106
99	253.3249386
100	253.2254372
101	253.0873513
102	253.0478611
103	252.9639513
104	252.7604642
105	252.6607335
106	252.4345358
107	252.1928348
108	251.9464799
109	251.7753295
110	251.6166498
111	251.5379186
112	251.3908388
113	251.166611
114	251.096207
115	250.6938083
116	250.2923588
117	250.0526886
118	249.6902055
119	249.3150112
120	249.0004565
121	248.7996587
122	248.548685
123	248.2716714
124	247.8735158
125	247.6230401
126	247.4506322
127	247.3862548
128	247.2440118
129	247.1905524
130	247.0383174
131	246.7829485
132	246.5210802
133	246.3833672
134	246.090079
135	245.8265201
136	245.550768
137	245.3157959
138	245.1771452
139	244.8568538
140	244.6136184
141	244.4958993
142	244.1940721
143	244.0692848
144	243.9236726
145	243.5967942
146	243.3951022
147	243.3208518
148	243.1398737
149	243.0296123
150	242.7685952
151	242.6657325
152	242.5628661
153	242.3938866
154	242.1585068
155	241.8839649
156	241.6825392
157	241.5057457
158	241.4229115
159	241.3315174
160	241.1142599
161	240.9169757
162	240.7668247
163	240.4261081
164	240.3265098
165	240.1608616
166	240.0291739
167	239.659367
168	239.5426084
169	239.359777
170	239.1781816
171	239.0566014
172	238.9041188
173	238.5746169
174	238.4058607
175	238.3112126
176	237.978477
177	237.6682517
178	237.491955
179	237.3694252
180	237.1945579
181	237.0179392
182	236.7155664
183	236.5279359
184	236.3984337
185	235.9643124
186	235.53659
187	235.452861
188	235.2360226
189	235.0546362
190	234.8490282
191	234.7435369
192	234.5442752
193	234.2054906
194	234.0143999
195	233.9178704
196	233.7532689
197	233.6451911
198	233.2703492
199	233.1110039
200	232.7836204
201	232.5740915
202	232.5098853
203	232.3436215
204	232.0650362
205	231.8980278
206	231.6720401
207	231.5780662
208	231.4261541
209	231.1367043
210	230.9265052
211	230.7802349
212	230.5971143
213	230.5115043
214	230.3521981
215	230.0180036
216	229.7288181
217	229.4540978
218	229.2683449
219	228.9147364
220	228.6231691
221	228.4441657
222	228.3060723
223	227.9287489
224	227.6855111
225	227.4413596
226	227.3647909
227	227.110851
228	226.9228827
229	226.6379521
230	226.4867353
231	226.4086286
232	226.1233143
233	226.0513809
234	225.7837915
235	225.5223241
236	225.3756815
237	225.224586
238	225.1373654
239	224.9076506
240	224.7202529
241	224.5994208
242	224.4644567
243	224.2978637
244	224.0622894
245	223.8608931
